nro_asiento,fecha,concepto,cuenta_codigo,cuenta_nombre,debe,haber,detalle
OP-102,2025-02-05,"Alquiler del local — 02/2025 (Factura A 0055-00000002)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000002"
OP-102,2025-02-05,"Alquiler del local — 02/2025 (Factura A 0055-00000002)",1.1.01.02,"Banco c/c ARS",0.00,605000.00,"FA 0055-00000002"
OP-301,2025-02-05,"Pago de sueldos netos, retenciones y cargas sociales de 01/2025",2.1.02.01,"Sueldos a pagar",996000.00,0.00,"Transferencias sueldos 01/2025"
OP-301,2025-02-05,"Pago de sueldos netos, retenciones y cargas sociales de 01/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",204000.00,0.00,"Transferencias sueldos 01/2025"
OP-301,2025-02-05,"Pago de sueldos netos, retenciones y cargas sociales de 01/2025",2.1.02.02,"Cargas sociales a pagar",300000.00,0.00,"Transferencias sueldos 01/2025"
OP-301,2025-02-05,"Pago de sueldos netos, retenciones y cargas sociales de 01/2025",1.1.01.02,"Banco c/c ARS",0.00,1500000.00,"Transferencias sueldos 01/2025"
OP-020,2025-02-20,"Venta de mercaderías al contado (600 u) (Factura B 0003-00000001)",1.1.01.02,"Banco c/c ARS",15972000.00,0.00,"FB 0003-00000001"
OP-020,2025-02-20,"Venta de mercaderías al contado (600 u) (Factura B 0003-00000001)",4.1.01,"Ventas",0.00,13200000.00,"FB 0003-00000001"
OP-020,2025-02-20,"Venta de mercaderías al contado (600 u) (Factura B 0003-00000001)",2.1.03.01,"IVA Débito Fiscal",0.00,2772000.00,"FB 0003-00000001"
OP-021,2025-02-20,"Costo de las mercaderías vendidas — venta del 20/02 (PEPS)",4.3.01,"Costo mercaderías vendidas",6240000.00,0.00,"Kardex 02/2025"
OP-021,2025-02-20,"Costo de las mercaderías vendidas — venta del 20/02 (PEPS)",1.1.04.01,"Mercaderías",0.00,6240000.00,"Kardex 02/2025"
OP-202,2025-02-28,"Liquidación de sueldos y cargas sociales — 02/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 02/2025"
OP-202,2025-02-28,"Liquidación de sueldos y cargas sociales — 02/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 02/2025"
OP-202,2025-02-28,"Liquidación de sueldos y cargas sociales — 02/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 02/2025"
OP-202,2025-02-28,"Liquidación de sueldos y cargas sociales — 02/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 02/2025"
OP-202,2025-02-28,"Liquidación de sueldos y cargas sociales — 02/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 02/2025"
OP-103,2025-03-05,"Alquiler del local — 03/2025 (Factura A 0055-00000003)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000003"
OP-103,2025-03-05,"Alquiler del local — 03/2025 (Factura A 0055-00000003)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000003"
OP-103,2025-03-05,"Alquiler del local — 03/2025 (Factura A 0055-00000003)",1.1.01.02,"Banco c/c ARS",0.00,605000.00,"FA 0055-00000003"
OP-302,2025-03-05,"Pago de sueldos netos, retenciones y cargas sociales de 02/2025",2.1.02.01,"Sueldos a pagar",996000.00,0.00,"Transferencias sueldos 02/2025"
OP-302,2025-03-05,"Pago de sueldos netos, retenciones y cargas sociales de 02/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",204000.00,0.00,"Transferencias sueldos 02/2025"
OP-302,2025-03-05,"Pago de sueldos netos, retenciones y cargas sociales de 02/2025",2.1.02.02,"Cargas sociales a pagar",300000.00,0.00,"Transferencias sueldos 02/2025"
OP-302,2025-03-05,"Pago de sueldos netos, retenciones y cargas sociales de 02/2025",1.1.01.02,"Banco c/c ARS",0.00,1500000.00,"Transferencias sueldos 02/2025"
OP-121,2025-03-10,"Energía, internet y telefonía — trimestre 1",4.5.05,"Servicios públicos",300000.00,0.00,"Facturas de servicios T1"
OP-121,2025-03-10,"Energía, internet y telefonía — trimestre 1",1.1.03.01,"IVA Crédito Fiscal",63000.00,0.00,"Facturas de servicios T1"
OP-121,2025-03-10,"Energía, internet y telefonía — trimestre 1",1.1.01.02,"Banco c/c ARS",0.00,363000.00,"Facturas de servicios T1"
OP-012,2025-03-12,"Compra de mercaderías en cuenta corriente — lote 2 (1.200 u) (Factura A 0011-00000019)",1.1.04.01,"Mercaderías",14400000.00,0.00,"FA 0011-00000019"
OP-012,2025-03-12,"Compra de mercaderías en cuenta corriente — lote 2 (1.200 u) (Factura A 0011-00000019)",1.1.03.01,"IVA Crédito Fiscal",3024000.00,0.00,"FA 0011-00000019"
OP-012,2025-03-12,"Compra de mercaderías en cuenta corriente — lote 2 (1.200 u) (Factura A 0011-00000019)",2.1.01.01,"Proveedores",0.00,17424000.00,"FA 0011-00000019"
OP-013,2025-03-20,"Devolución al proveedor de 100 u del lote 2 (Nota de crédito A 0011-00000004)",2.1.01.01,"Proveedores",1452000.00,0.00,"NCA 0011-00000004"
OP-013,2025-03-20,"Devolución al proveedor de 100 u del lote 2 (Nota de crédito A 0011-00000004)",1.1.04.01,"Mercaderías",0.00,1200000.00,"NCA 0011-00000004"
OP-013,2025-03-20,"Devolución al proveedor de 100 u del lote 2 (Nota de crédito A 0011-00000004)",1.1.03.01,"IVA Crédito Fiscal",0.00,252000.00,"NCA 0011-00000004"
IVA-T1,2025-03-31,"Liquidación de IVA — trimestre 1/2025",2.1.03.01,"IVA Débito Fiscal",2772000.00,0.00,"Cancelación del débito fiscal del trimestre 1"
IVA-T1,2025-03-31,"Liquidación de IVA — trimestre 1/2025",1.1.03.01,"IVA Crédito Fiscal",0.00,8080800.00,"Cancelación del crédito fiscal del trimestre 1"
IVA-T1,2025-03-31,"Liquidación de IVA — trimestre 1/2025",1.1.03.06,"IVA a favor",5308800.00,0.00,"Saldo técnico a favor del período siguiente"
OP-141,2025-03-31,"Comisiones y gastos bancarios — trimestre 1",4.6.04,"Comisiones y gastos bancarios",80000.00,0.00,"Resumen bancario T1"
OP-141,2025-03-31,"Comisiones y gastos bancarios — trimestre 1",1.1.03.01,"IVA Crédito Fiscal",16800.00,0.00,"Resumen bancario T1"
OP-141,2025-03-31,"Comisiones y gastos bancarios — trimestre 1",1.1.01.02,"Banco c/c ARS",0.00,96800.00,"Resumen bancario T1"
OP-203,2025-03-31,"Liquidación de sueldos y cargas sociales — 03/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 03/2025"
OP-203,2025-03-31,"Liquidación de sueldos y cargas sociales — 03/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 03/2025"
OP-203,2025-03-31,"Liquidación de sueldos y cargas sociales — 03/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 03/2025"
OP-203,2025-03-31,"Liquidación de sueldos y cargas sociales — 03/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 03/2025"
OP-203,2025-03-31,"Liquidación de sueldos y cargas sociales — 03/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 03/2025"
OP-104,2025-04-05,"Alquiler del local — 04/2025 (Factura A 0055-00000004)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000004"
OP-104,2025-04-05,"Alquiler del local — 04/2025 (Factura A 0055-00000004)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000004"
OP-104,2025-04-05,"Alquiler del local — 04/2025 (Factura A 0055-00000004)",1.1.01.02,"Banco c/c ARS",0.00,605000.00,"FA 0055-00000004"
OP-303,2025-04-05,"Pago de sueldos netos, retenciones y cargas sociales de 03/2025",2.1.02.01,"Sueldos a pagar",996000.00,0.00,"Transferencias sueldos 03/2025"
OP-303,2025-04-05,"Pago de sueldos netos, retenciones y cargas sociales de 03/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",204000.00,0.00,"Transferencias sueldos 03/2025"
OP-303,2025-04-05,"Pago de sueldos netos, retenciones y cargas sociales de 03/2025",2.1.02.02,"Cargas sociales a pagar",300000.00,0.00,"Transferencias sueldos 03/2025"
OP-303,2025-04-05,"Pago de sueldos netos, retenciones y cargas sociales de 03/2025",1.1.01.02,"Banco c/c ARS",0.00,1500000.00,"Transferencias sueldos 03/2025"
OP-016,2025-04-10,"Pago parcial a proveedores",2.1.01.01,"Proveedores",10000000.00,0.00,"OP 000008"
OP-016,2025-04-10,"Pago parcial a proveedores",1.1.01.02,"Banco c/c ARS",0.00,10000000.00,"OP 000008"
OP-022,2025-04-18,"Venta de mercaderías en cuenta corriente (900 u) (Factura A 0003-00000002)",1.1.02.01,"Deudores por ventas",28314000.00,0.00,"FA 0003-00000002"
OP-022,2025-04-18,"Venta de mercaderías en cuenta corriente (900 u) (Factura A 0003-00000002)",4.1.01,"Ventas",0.00,23400000.00,"FA 0003-00000002"
OP-022,2025-04-18,"Venta de mercaderías en cuenta corriente (900 u) (Factura A 0003-00000002)",2.1.03.01,"IVA Débito Fiscal",0.00,4914000.00,"FA 0003-00000002"
OP-023,2025-04-18,"Costo de las mercaderías vendidas — venta del 18/04 (PEPS)",4.3.01,"Costo mercaderías vendidas",10160000.00,0.00,"Kardex 04/2025"
OP-023,2025-04-18,"Costo de las mercaderías vendidas — venta del 18/04 (PEPS)",1.1.04.01,"Mercaderías",0.00,10160000.00,"Kardex 04/2025"
OP-204,2025-04-30,"Liquidación de sueldos y cargas sociales — 04/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 04/2025"
OP-204,2025-04-30,"Liquidación de sueldos y cargas sociales — 04/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 04/2025"
OP-204,2025-04-30,"Liquidación de sueldos y cargas sociales — 04/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 04/2025"
OP-204,2025-04-30,"Liquidación de sueldos y cargas sociales — 04/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 04/2025"
OP-204,2025-04-30,"Liquidación de sueldos y cargas sociales — 04/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 04/2025"
OP-160,2025-05-02,"Préstamo bancario a 24 meses acreditado en cuenta (Contrato 88-4410)",1.1.01.02,"Banco c/c ARS",12000000.00,0.00,"Contrato 88-4410"
OP-160,2025-05-02,"Préstamo bancario a 24 meses acreditado en cuenta (Contrato 88-4410)",2.2.01.01,"Préstamos bancarios",0.00,12000000.00,"Contrato 88-4410"
OP-105,2025-05-05,"Alquiler del local — 05/2025 (Factura A 0055-00000005)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000005"
OP-105,2025-05-05,"Alquiler del local — 05/2025 (Factura A 0055-00000005)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000005"
OP-105,2025-05-05,"Alquiler del local — 05/2025 (Factura A 0055-00000005)",1.1.01.02,"Banco c/c ARS",0.00,605000.00,"FA 0055-00000005"
OP-304,2025-05-05,"Pago de sueldos netos, retenciones y cargas sociales de 04/2025",2.1.02.01,"Sueldos a pagar",996000.00,0.00,"Transferencias sueldos 04/2025"
OP-304,2025-05-05,"Pago de sueldos netos, retenciones y cargas sociales de 04/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",204000.00,0.00,"Transferencias sueldos 04/2025"
OP-304,2025-05-05,"Pago de sueldos netos, retenciones y cargas sociales de 04/2025",2.1.02.02,"Cargas sociales a pagar",300000.00,0.00,"Transferencias sueldos 04/2025"
OP-304,2025-05-05,"Pago de sueldos netos, retenciones y cargas sociales de 04/2025",1.1.01.02,"Banco c/c ARS",0.00,1500000.00,"Transferencias sueldos 04/2025"
OP-006,2025-05-15,"Pago a acreedores varios por la compra de equipos de computación",2.1.06.01,"Acreedores varios",3630000.00,0.00,"OP 000015"
OP-006,2025-05-15,"Pago a acreedores varios por la compra de equipos de computación",1.1.01.02,"Banco c/c ARS",0.00,3630000.00,"OP 000015"
OP-205,2025-05-31,"Liquidación de sueldos y cargas sociales — 05/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 05/2025"
OP-205,2025-05-31,"Liquidación de sueldos y cargas sociales — 05/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 05/2025"
OP-205,2025-05-31,"Liquidación de sueldos y cargas sociales — 05/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 05/2025"
OP-205,2025-05-31,"Liquidación de sueldos y cargas sociales — 05/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 05/2025"
OP-205,2025-05-31,"Liquidación de sueldos y cargas sociales — 05/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 05/2025"
OP-170,2025-06-01,"Constitución de un plazo fijo a 151 días",1.1.05.01,"Plazos fijos a cobrar",5000000.00,0.00,"Certificado PF 77001"
OP-170,2025-06-01,"Constitución de un plazo fijo a 151 días",1.1.01.02,"Banco c/c ARS",0.00,5000000.00,"Certificado PF 77001"
OP-030,2025-06-05,"Cobro parcial a deudores por ventas",1.1.01.02,"Banco c/c ARS",20000000.00,0.00,"Recibo 000012"
OP-030,2025-06-05,"Cobro parcial a deudores por ventas",1.1.02.01,"Deudores por ventas",0.00,20000000.00,"Recibo 000012"
OP-106,2025-06-05,"Alquiler del local — 06/2025 (Factura A 0055-00000006)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000006"
OP-106,2025-06-05,"Alquiler del local — 06/2025 (Factura A 0055-00000006)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000006"
OP-106,2025-06-05,"Alquiler del local — 06/2025 (Factura A 0055-00000006)",1.1.01.02,"Banco c/c ARS",0.00,605000.00,"FA 0055-00000006"
OP-305,2025-06-05,"Pago de sueldos netos, retenciones y cargas sociales de 05/2025",2.1.02.01,"Sueldos a pagar",996000.00,0.00,"Transferencias sueldos 05/2025"
OP-305,2025-06-05,"Pago de sueldos netos, retenciones y cargas sociales de 05/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",204000.00,0.00,"Transferencias sueldos 05/2025"
OP-305,2025-06-05,"Pago de sueldos netos, retenciones y cargas sociales de 05/2025",2.1.02.02,"Cargas sociales a pagar",300000.00,0.00,"Transferencias sueldos 05/2025"
OP-305,2025-06-05,"Pago de sueldos netos, retenciones y cargas sociales de 05/2025",1.1.01.02,"Banco c/c ARS",0.00,1500000.00,"Transferencias sueldos 05/2025"
OP-014,2025-06-10,"Compra de mercaderías en cuenta corriente — lote 3 (1.000 u) (Factura A 0011-00000031)",1.1.04.01,"Mercaderías",14000000.00,0.00,"FA 0011-00000031"
OP-014,2025-06-10,"Compra de mercaderías en cuenta corriente — lote 3 (1.000 u) (Factura A 0011-00000031)",1.1.03.01,"IVA Crédito Fiscal",2940000.00,0.00,"FA 0011-00000031"
OP-014,2025-06-10,"Compra de mercaderías en cuenta corriente — lote 3 (1.000 u) (Factura A 0011-00000031)",2.1.01.01,"Proveedores",0.00,16940000.00,"FA 0011-00000031"
OP-122,2025-06-10,"Energía, internet y telefonía — trimestre 2",4.5.05,"Servicios públicos",300000.00,0.00,"Facturas de servicios T2"
OP-122,2025-06-10,"Energía, internet y telefonía — trimestre 2",1.1.03.01,"IVA Crédito Fiscal",63000.00,0.00,"Facturas de servicios T2"
OP-122,2025-06-10,"Energía, internet y telefonía — trimestre 2",1.1.01.02,"Banco c/c ARS",0.00,363000.00,"Facturas de servicios T2"
OP-150,2025-06-20,"Gastos de oficina pagados con el fondo fijo",4.5.06,"Gastos de oficina",120000.00,0.00,"Rendición FF 01"
OP-150,2025-06-20,"Gastos de oficina pagados con el fondo fijo",1.1.03.01,"IVA Crédito Fiscal",25200.00,0.00,"Rendición FF 01"
OP-150,2025-06-20,"Gastos de oficina pagados con el fondo fijo",1.1.01.06,"Fondo fijo",0.00,145200.00,"Rendición FF 01"
OP-151,2025-06-25,"Reposición del fondo fijo desde la cuenta bancaria",1.1.01.06,"Fondo fijo",145200.00,0.00,"Recibo interno FF-02"
OP-151,2025-06-25,"Reposición del fondo fijo desde la cuenta bancaria",1.1.01.02,"Banco c/c ARS",0.00,145200.00,"Recibo interno FF-02"
IVA-T2,2025-06-30,"Liquidación de IVA — trimestre 2/2025",2.1.03.01,"IVA Débito Fiscal",4914000.00,0.00,"Cancelación del débito fiscal del trimestre 2"
IVA-T2,2025-06-30,"Liquidación de IVA — trimestre 2/2025",1.1.03.01,"IVA Crédito Fiscal",0.00,3360000.00,"Cancelación del crédito fiscal del trimestre 2"
IVA-T2,2025-06-30,"Liquidación de IVA — trimestre 2/2025",1.1.03.06,"IVA a favor",0.00,5308800.00,"Aplicación del saldo técnico a favor anterior"
IVA-T2,2025-06-30,"Liquidación de IVA — trimestre 2/2025",1.1.03.06,"IVA a favor",3754800.00,0.00,"Saldo técnico a favor del período siguiente"
OP-142,2025-06-30,"Comisiones y gastos bancarios — trimestre 2",4.6.04,"Comisiones y gastos bancarios",80000.00,0.00,"Resumen bancario T2"
OP-142,2025-06-30,"Comisiones y gastos bancarios — trimestre 2",1.1.03.01,"IVA Crédito Fiscal",16800.00,0.00,"Resumen bancario T2"
OP-142,2025-06-30,"Comisiones y gastos bancarios — trimestre 2",1.1.01.02,"Banco c/c ARS",0.00,96800.00,"Resumen bancario T2"
OP-206,2025-06-30,"Liquidación de sueldos y cargas sociales — 06/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 06/2025"
OP-206,2025-06-30,"Liquidación de sueldos y cargas sociales — 06/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 06/2025"
OP-206,2025-06-30,"Liquidación de sueldos y cargas sociales — 06/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 06/2025"
OP-206,2025-06-30,"Liquidación de sueldos y cargas sociales — 06/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 06/2025"
OP-206,2025-06-30,"Liquidación de sueldos y cargas sociales — 06/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 06/2025"
OP-131,2025-07-01,"Póliza anual de seguro 01/07/2025–30/06/2026, pagada al contado",1.1.03.22,"Seguros pagados por adelantado",1200000.00,0.00,"Póliza 44-991002"
OP-131,2025-07-01,"Póliza anual de seguro 01/07/2025–30/06/2026, pagada al contado",1.1.03.01,"IVA Crédito Fiscal",252000.00,0.00,"Póliza 44-991002"
OP-131,2025-07-01,"Póliza anual de seguro 01/07/2025–30/06/2026, pagada al contado",1.1.01.02,"Banco c/c ARS",0.00,1452000.00,"Póliza 44-991002"
OP-107,2025-07-05,"Alquiler del local — 07/2025 (Factura A 0055-00000007)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000007"
OP-107,2025-07-05,"Alquiler del local — 07/2025 (Factura A 0055-00000007)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000007"
OP-107,2025-07-05,"Alquiler del local — 07/2025 (Factura A 0055-00000007)",1.1.01.02,"Banco c/c ARS",0.00,605000.00,"FA 0055-00000007"
OP-306,2025-07-05,"Pago de sueldos netos, retenciones y cargas sociales de 06/2025",2.1.02.01,"Sueldos a pagar",996000.00,0.00,"Transferencias sueldos 06/2025"
OP-306,2025-07-05,"Pago de sueldos netos, retenciones y cargas sociales de 06/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",204000.00,0.00,"Transferencias sueldos 06/2025"
OP-306,2025-07-05,"Pago de sueldos netos, retenciones y cargas sociales de 06/2025",2.1.02.02,"Cargas sociales a pagar",300000.00,0.00,"Transferencias sueldos 06/2025"
OP-306,2025-07-05,"Pago de sueldos netos, retenciones y cargas sociales de 06/2025",1.1.01.02,"Banco c/c ARS",0.00,1500000.00,"Transferencias sueldos 06/2025"
OP-017,2025-07-15,"Pago parcial a proveedores",2.1.01.01,"Proveedores",8000000.00,0.00,"OP 000021"
OP-017,2025-07-15,"Pago parcial a proveedores",1.1.01.02,"Banco c/c ARS",0.00,8000000.00,"OP 000021"
OP-024,2025-07-22,"Venta de mercaderías en cuenta corriente (800 u) (Factura A 0003-00000003)",1.1.02.01,"Deudores por ventas",30976000.00,0.00,"FA 0003-00000003"
OP-024,2025-07-22,"Venta de mercaderías en cuenta corriente (800 u) (Factura A 0003-00000003)",4.1.01,"Ventas",0.00,25600000.00,"FA 0003-00000003"
OP-024,2025-07-22,"Venta de mercaderías en cuenta corriente (800 u) (Factura A 0003-00000003)",2.1.03.01,"IVA Débito Fiscal",0.00,5376000.00,"FA 0003-00000003"
OP-025,2025-07-22,"Costo de las mercaderías vendidas — venta del 22/07 (PEPS)",4.3.01,"Costo mercaderías vendidas",10000000.00,0.00,"Kardex 07/2025"
OP-025,2025-07-22,"Costo de las mercaderías vendidas — venta del 22/07 (PEPS)",1.1.04.01,"Mercaderías",0.00,10000000.00,"Kardex 07/2025"
OP-207,2025-07-31,"Liquidación de sueldos y cargas sociales — 07/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 07/2025"
OP-207,2025-07-31,"Liquidación de sueldos y cargas sociales — 07/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 07/2025"
OP-207,2025-07-31,"Liquidación de sueldos y cargas sociales — 07/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 07/2025"
OP-207,2025-07-31,"Liquidación de sueldos y cargas sociales — 07/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 07/2025"
OP-207,2025-07-31,"Liquidación de sueldos y cargas sociales — 07/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 07/2025"
OP-108,2025-08-05,"Alquiler del local — 08/2025 (Factura A 0055-00000008)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000008"
OP-108,2025-08-05,"Alquiler del local — 08/2025 (Factura A 0055-00000008)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000008"
OP-108,2025-08-05,"Alquiler del local — 08/2025 (Factura A 0055-00000008)",1.1.01.02,"Banco c/c ARS",0.00,605000.00,"FA 0055-00000008"
OP-307,2025-08-05,"Pago de sueldos netos, retenciones y cargas sociales de 07/2025",2.1.02.01,"Sueldos a pagar",996000.00,0.00,"Transferencias sueldos 07/2025"
OP-307,2025-08-05,"Pago de sueldos netos, retenciones y cargas sociales de 07/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",204000.00,0.00,"Transferencias sueldos 07/2025"
